orderid,customerid,storeid,orderdate
76,1714,15,1/8/2018
77,1159,96,6/18/2018
78,1704,22,5/18/2018
79,1428,54,8/22/2018
80,1635,57,3/13/2018
81,1628,6,8/22/2018
82,1146,61,11/19/2017
83,1112,95,8/26/2018
84,1698,28,10/12/2017
85,1611,97,5/30/2018
86,1067,78,5/19/2018
87,1217,64,10/21/2017
88,1630,86,12/5/2017
89,1500,12,2/14/2018
90,1254,76,12/28/2017
91,1721,48,6/26/2018
92,1577,7,10/27/2017
93,1357,82,12/24/2017
94,1070,70,1/9/2018
95,1239,40,11/18/2017
96,1952,5,7/10/2018
97,1593,10,1/6/2018
98,1133,36,9/27/2017
99,1186,96,9/14/2017
100,1824,45,10/26/2017
101,1347,41,11/3/2017
102,1838,8,9/22/2017
103,1262,21,3/26/2018
104,1132,16,1/9/2018
105,1101,58,3/17/2018
106,1443,97,1/3/2018
107,1173,68,11/23/2017
108,1604,73,8/22/2018
109,1032,43,2/23/2018
110,1546,89,9/7/2018
111,1183,32,2/18/2018
112,1873,47,11/30/2017
113,1366,7,10/19/2017
114,1151,45,7/30/2018
115,1059,93,10/18/2017
116,1244,57,7/30/2018
117,1927,25,8/26/2018
118,1102,91,8/31/2018
119,1386,27,11/1/2017
120,1112,24,12/11/2017
121,1010,38,6/4/2018
122,1061,81,1/17/2018
123,1036,52,11/16/2017
124,1795,92,8/8/2018
125,1852,21,2/9/2018
126,1201,4,9/26/2017
127,1880,7,2/24/2018
128,1527,100,5/5/2018
129,1515,96,1/4/2018
130,1585,33,10/27/2017
131,1978,4,7/8/2018
132,1062,60,1/24/2018
133,1711,19,10/24/2017
134,1573,57,6/16/2018
135,1823,39,1/3/2018
136,1473,14,4/25/2018
137,1251,61,5/20/2018
138,1039,97,11/29/2017
139,1646,88,6/17/2018
140,1721,52,9/14/2017
141,1773,33,11/9/2017
142,1138,73,3/11/2018
143,1788,19,7/2/2018
144,1949,89,12/8/2017
145,1947,11,4/1/2018
146,1515,25,5/27/2018
147,1436,22,6/24/2018
148,1596,18,9/8/2018
149,1486,5,7/28/2018
150,1135,93,5/28/2018
151,1188,39,3/17/2018
152,1049,59,1/15/2018
153,1425,33,7/23/2018
154,1074,51,11/8/2017
155,1069,8,6/5/2018
156,1056,78,9/25/2017
157,1625,48,6/29/2018
158,1174,21,5/16/2018
159,1702,28,5/19/2018
160,1115,69,2/25/2018
161,1540,57,6/18/2018
162,1105,45,5/6/2018
163,1546,34,2/19/2018
164,1320,88,6/2/2018
165,1733,99,12/5/2017
166,1248,49,7/21/2018
167,1212,44,9/27/2017
168,1166,9,8/10/2018
169,1681,58,3/27/2018
170,1553,37,11/24/2017
171,1594,89,4/14/2018
172,1785,50,9/8/2018
173,1364,27,7/19/2018
174,1147,52,1/20/2018
175,1028,100,10/29/2017
176,1469,14,2/7/2018
177,1069,96,12/16/2017
178,1430,1,7/15/2018
179,1704,52,4/11/2018
180,1911,5,10/18/2017
181,1353,87,2/1/2018
182,1625,63,6/20/2018
183,1850,36,4/30/2018
184,1224,80,8/12/2018
185,1152,32,1/7/2018
186,1342,98,5/24/2018
187,1688,81,10/12/2017
188,1627,73,4/16/2018
189,1138,51,11/18/2017
190,1188,29,2/22/2018
191,1338,89,1/7/2018
192,1292,10,1/24/2018
193,1822,47,5/4/2018
194,1087,67,6/5/2018
195,1693,44,4/4/2018
196,1538,54,12/21/2017
197,1388,54,10/29/2017
198,1066,21,7/16/2018
199,1869,75,3/15/2018
200,1083,4,12/18/2017
201,1616,20,9/3/2018
202,1620,46,4/4/2018
203,1762,80,8/29/2018
204,1268,84,12/17/2017
205,1624,43,7/15/2018
206,1680,61,6/25/2018
207,1981,10,2/25/2018
208,1488,8,9/4/2018
209,1364,50,5/7/2018
210,1951,58,12/19/2017
211,1885,70,10/3/2017
212,1898,55,4/22/2018
213,1506,46,5/16/2018
214,1736,22,11/18/2017
215,1204,81,2/3/2018
216,1267,52,4/27/2018
217,1903,98,9/26/2017
218,1049,72,1/21/2018
219,1333,84,1/10/2018
220,1487,25,6/18/2018
221,1894,73,1/3/2018
222,1817,98,9/27/2017
223,1877,81,5/1/2018
224,1095,27,7/17/2018
225,1659,99,5/25/2018
226,1737,9,8/29/2018
227,1191,94,4/25/2018
228,1001,32,3/13/2018
229,1082,98,5/27/2018
230,1536,23,12/7/2017
231,1610,14,1/13/2018
232,1211,18,8/31/2018
233,1480,98,8/12/2018
234,1746,11,9/23/2017
235,1336,16,10/11/2017
236,1745,19,2/16/2018
237,1601,65,8/20/2018
238,1303,75,4/21/2018
239,1907,55,3/18/2018
240,1256,48,9/23/2017
241,1859,8,12/14/2017
242,1576,100,6/25/2018
243,1618,97,7/20/2018
244,1332,16,5/27/2018
245,1046,17,2/5/2018
246,1878,56,8/24/2018
247,1597,84,2/10/2018
248,1377,98,11/27/2017
249,1208,47,11/14/2017
250,1569,24,7/19/2018
251,1973,52,8/2/2018
252,1890,17,1/20/2018
253,1497,69,11/13/2017
254,1134,38,10/10/2017
255,1278,71,4/17/2018
256,1788,89,6/16/2018
257,1633,87,12/21/2017
258,1218,76,3/19/2018
259,1343,79,1/15/2018
260,1746,21,12/19/2017
261,1098,29,1/1/2018
262,1360,58,4/20/2018
263,1779,16,10/27/2017
264,1336,35,5/28/2018
265,1441,5,6/17/2018
266,1451,91,1/5/2018
267,1367,57,8/6/2018
268,1117,71,11/12/2017
269,1761,30,8/4/2018
270,1326,67,8/30/2018
271,1581,59,4/10/2018
272,1525,25,2/12/2018
273,1214,88,8/19/2018
274,1775,17,2/13/2018
275,1214,27,2/18/2018
276,1194,89,5/17/2018
277,1449,43,2/16/2018
278,1981,26,11/9/2017
279,1039,12,6/9/2018
280,1564,18,9/12/2017
281,1198,54,1/25/2018
282,1895,83,6/27/2018
283,1568,20,10/5/2017
284,1234,32,7/30/2018
285,1363,33,11/30/2017
286,1464,68,2/22/2018
287,1426,57,6/7/2018
288,1342,84,12/10/2017
289,1941,28,3/8/2018
290,1397,15,6/28/2018
291,1511,70,7/15/2018
292,1093,3,5/12/2018
293,1040,33,4/28/2018
294,1454,86,10/1/2017
295,1224,76,9/5/2018
296,1817,67,8/10/2018
297,1167,16,4/11/2018
298,1719,69,8/7/2018
299,1081,52,8/19/2018
300,1314,51,12/23/2017
301,1391,31,2/3/2018
302,1373,92,2/8/2018
303,1828,80,8/17/2018
304,1323,8,8/8/2018
305,1487,79,7/20/2018
306,1301,67,6/6/2018
307,1850,36,1/24/2018
308,1621,9,7/2/2018
309,1858,80,4/26/2018
310,1896,34,2/16/2018
311,1515,16,11/18/2017
312,1451,81,7/16/2018
313,1572,12,1/2/2018
314,1516,55,2/27/2018
315,1115,26,12/18/2017
316,1737,16,9/30/2017
317,1881,100,8/5/2018
318,1199,37,1/9/2018
319,1495,58,11/11/2017
320,1384,6,10/13/2017
321,1103,46,10/17/2017
322,1325,82,10/10/2017
323,1869,88,2/12/2018
324,1743,93,1/25/2018
325,1413,43,3/20/2018
326,1193,59,3/31/2018
327,1664,63,4/1/2018
328,1648,26,3/11/2018
329,1506,28,12/6/2017
330,1245,99,3/30/2018
331,1688,68,10/6/2017
332,1982,79,6/7/2018
333,1888,94,1/2/2018
334,1499,53,11/21/2017
335,1547,74,8/1/2018
336,1139,82,11/13/2017
337,1551,43,1/12/2018
338,1153,93,11/29/2017
339,1258,38,10/29/2017
340,1298,13,1/12/2018
341,1952,28,5/25/2018
342,1527,100,5/25/2018
343,1247,15,1/25/2018
344,1184,56,4/16/2018
345,1869,41,3/8/2018
346,1283,45,5/25/2018
347,1101,33,10/25/2017
348,1375,88,10/22/2017
349,1461,62,2/23/2018
350,1678,7,12/1/2017
351,1088,18,3/2/2018
352,1828,21,4/24/2018
353,1042,90,12/3/2017
354,1379,48,3/23/2018
355,1546,34,9/25/2017
356,1977,48,7/19/2018
357,1879,46,9/8/2018
358,1203,30,9/4/2018
359,1180,88,6/22/2018
360,1278,33,6/10/2018
361,1423,97,10/16/2017
362,1291,89,2/2/2018
363,1218,28,10/20/2017
364,1800,7,4/12/2018
365,1169,50,10/18/2017
366,1429,52,8/29/2018
367,1739,64,8/11/2018
368,1134,33,10/13/2017
369,1201,95,9/16/2017
370,1781,7,7/26/2018
371,1641,83,11/29/2017
372,1268,38,12/18/2017
373,1195,71,1/13/2018
374,1537,26,3/16/2018
375,1261,65,8/7/2018
376,1571,15,8/5/2018
377,1007,78,3/13/2018
378,1967,23,10/6/2017
379,1397,29,9/6/2018
380,1350,49,8/3/2018
381,1852,77,6/18/2018
382,1903,98,6/4/2018
383,1499,96,3/23/2018
384,1954,93,9/5/2018
385,1014,67,6/9/2018
386,1997,17,5/2/2018
387,1998,98,10/21/2017
388,1572,82,8/9/2018
389,1099,64,1/5/2018
390,1683,9,3/27/2018
391,1852,49,11/4/2017
392,1836,17,10/5/2017
393,1439,83,6/26/2018
394,1544,37,4/15/2018
395,1721,27,10/8/2017
396,1485,95,6/1/2018
397,1234,53,11/12/2017
398,1460,14,10/1/2017
399,1487,11,7/25/2018
400,1451,79,1/8/2018
401,1628,89,4/15/2018
402,1922,53,9/15/2017
403,1466,63,11/16/2017
404,1459,41,6/23/2018
405,1454,20,5/25/2018
406,1936,86,9/30/2017
407,1423,15,7/28/2018
408,1143,47,9/5/2018
409,1090,23,5/8/2018
410,1396,81,5/3/2018
411,1670,60,7/5/2018
412,1867,92,7/29/2018
413,1472,22,6/18/2018
414,1971,71,1/21/2018
415,1384,66,6/12/2018
416,1271,47,7/2/2018
417,1500,100,8/3/2018
418,1855,37,3/15/2018
419,1999,35,7/10/2018
420,1132,87,6/22/2018
421,1904,62,4/21/2018
422,1159,96,10/21/2017
423,1447,15,7/27/2018
424,1136,25,9/4/2018
425,1300,83,9/29/2017
426,1282,44,10/2/2017
427,1357,83,12/11/2017
428,1228,47,5/16/2018
429,1799,91,2/23/2018
430,1108,34,1/23/2018
431,1519,52,1/9/2018
432,1859,85,10/24/2017
433,1297,69,6/1/2018
434,1067,45,8/10/2018
435,1006,54,9/11/2017
436,1680,98,12/21/2017
437,1632,44,8/4/2018
438,1091,34,3/19/2018
439,1795,64,4/22/2018
440,1993,76,8/16/2018
441,1248,47,11/30/2017
442,1580,67,3/13/2018
443,1853,61,9/11/2017
444,1995,53,6/8/2018
445,1198,8,3/16/2018
446,1241,1,6/7/2018
447,1339,33,5/24/2018
448,1454,2,3/9/2018
449,1434,80,9/24/2017
450,1629,23,2/6/2018
451,1615,97,10/3/2017
452,1078,89,1/2/2018
453,1342,85,2/10/2018
454,1980,46,8/18/2018
455,1667,30,2/16/2018
456,1781,11,8/22/2018
457,1622,74,2/26/2018
458,1877,80,1/7/2018
459,1399,1,1/5/2018
460,1817,21,8/27/2018
461,1566,2,5/23/2018
462,1214,66,11/7/2017
463,1978,41,3/5/2018
464,1817,72,12/3/2017
465,1437,53,6/16/2018
466,1543,75,3/9/2018
467,1160,90,12/9/2017
468,1160,100,8/2/2018
469,1090,21,12/31/2017
470,1213,29,5/29/2018
471,1182,80,11/14/2017
472,1923,33,11/13/2017
473,1446,32,9/6/2018
474,1237,66,9/11/2017
475,1779,59,5/15/2018
476,1993,58,3/24/2018
477,1162,44,1/6/2018
478,1269,53,10/22/2017
479,1251,61,11/17/2017
480,1436,54,2/17/2018
481,1028,20,2/7/2018
482,1365,35,7/15/2018
483,1262,31,3/2/2018
484,1598,55,5/4/2018
485,1359,67,9/12/2017
486,1996,28,4/29/2018
487,1939,89,2/8/2018
488,1881,88,12/30/2017
489,1916,37,9/16/2017
490,1980,87,5/23/2018
491,1700,14,10/19/2017
492,1120,71,5/3/2018
493,1056,50,3/17/2018
494,1658,55,9/17/2017
495,1631,57,3/11/2018
496,1560,70,9/23/2017
497,1919,70,7/7/2018
498,1402,56,7/7/2018
499,1257,49,5/25/2018
500,1597,67,6/7/2018
501,1440,44,4/22/2018
502,1643,94,2/13/2018
503,1062,69,3/19/2018
504,1619,98,7/4/2018
505,1817,48,12/5/2017
506,1257,11,5/31/2018
507,1958,88,7/22/2018
508,1522,73,9/25/2017
509,1012,57,1/2/2018
510,1247,3,9/14/2017
511,1904,100,10/5/2017
512,1706,51,4/12/2018
513,1145,19,7/9/2018
514,1093,35,8/12/2018
515,1681,60,11/14/2017
516,1123,85,7/2/2018
517,1670,47,8/5/2018
518,1507,31,3/12/2018
519,1574,83,9/13/2017
520,1716,56,10/19/2017
521,1087,91,12/10/2017
522,1480,92,12/13/2017
523,1459,83,11/26/2017
524,1671,50,9/7/2018
525,1182,12,7/28/2018
526,1159,42,9/30/2017
527,1865,48,8/1/2018
528,1791,15,10/7/2017
529,1134,60,7/8/2018
530,1311,79,4/3/2018
531,1556,1,5/31/2018
532,1941,75,3/1/2018
533,1333,24,10/17/2017
534,1413,31,9/12/2017
535,1435,17,2/20/2018
536,1120,1,3/29/2018
537,1511,52,5/15/2018
538,1415,69,8/5/2018
539,1897,100,6/16/2018
540,1399,68,11/10/2017
541,1144,15,3/26/2018
542,1128,29,1/21/2018
543,1438,13,12/8/2017
544,1132,74,5/9/2018
545,1312,79,3/25/2018
546,1525,82,3/16/2018
547,1350,22,5/20/2018
548,1302,41,7/25/2018
549,1409,15,6/25/2018
550,1838,12,5/6/2018
551,1971,64,10/21/2017
552,1505,61,3/21/2018
553,1184,91,5/10/2018
554,1871,21,5/7/2018
555,1376,51,7/7/2018
556,1997,35,4/3/2018
557,1550,78,1/28/2018
558,1609,56,6/29/2018
559,1327,62,10/9/2017
560,1571,18,5/10/2018
561,1626,40,3/15/2018
562,1810,22,11/20/2017
563,1154,3,4/24/2018
564,1961,76,1/25/2018
565,1212,32,4/26/2018
566,1199,12,7/8/2018
567,1135,62,8/20/2018
568,1848,50,5/25/2018
569,1040,39,12/26/2017
570,1170,5,12/19/2017
571,1326,95,11/23/2017
572,1503,15,1/24/2018
573,1732,95,2/14/2018
574,1856,24,6/29/2018
575,1905,67,5/16/2018
576,1513,23,9/5/2018
577,1176,12,8/13/2018
578,1755,82,10/4/2017
579,1004,34,12/6/2017
580,1993,92,6/21/2018
581,1692,81,2/13/2018
582,1799,14,10/17/2017
583,1732,99,4/8/2018
584,1604,53,12/30/2017
585,1439,33,3/14/2018
586,1991,6,10/25/2017
587,1037,92,4/2/2018
588,1259,93,3/27/2018
589,1032,12,9/3/2018
590,1163,85,10/7/2017
591,1511,72,7/29/2018
592,1675,60,7/30/2018
593,1631,43,11/29/2017
594,1195,5,12/24/2017
595,1826,35,3/30/2018
596,1657,65,10/9/2017
597,1496,89,12/4/2017
598,1850,84,12/2/2017
599,1288,72,12/28/2017
600,1790,47,8/29/2018
601,1399,42,10/3/2017
602,1067,77,7/19/2018
603,1255,14,7/28/2018
604,1989,43,6/15/2018
605,1477,60,3/25/2018
606,1738,54,10/25/2017
607,1218,16,6/14/2018
608,1752,2,3/12/2018
609,1181,71,2/23/2018
610,1912,23,10/13/2017
611,1476,27,6/4/2018
612,1747,97,11/15/2017
613,1846,15,8/16/2018
614,1687,98,12/12/2017
615,1759,86,6/14/2018
616,1674,68,2/1/2018
617,1130,14,4/22/2018
618,1660,39,8/11/2018
619,1905,69,10/18/2017
620,1106,18,9/28/2017
621,1723,37,11/6/2017
622,1487,98,9/19/2017
623,1390,90,12/23/2017
624,1810,38,7/23/2018
625,1011,47,9/27/2017
626,1168,51,3/9/2018
627,1694,16,5/27/2018
628,1380,5,7/12/2018
629,1804,45,7/14/2018
630,1753,55,4/13/2018
631,1188,66,10/7/2017
632,1163,30,7/8/2018
633,1031,27,8/5/2018
634,1395,29,12/29/2017
635,1520,40,12/14/2017
636,1262,52,10/15/2017
637,1310,2,8/2/2018
638,1644,72,12/19/2017
639,1545,72,2/17/2018
640,1306,98,5/4/2018
641,1847,96,6/11/2018
642,1991,3,8/11/2018
643,1386,78,1/28/2018
644,1285,63,5/9/2018
645,1668,68,10/12/2017
646,1301,20,11/27/2017
647,1068,45,8/4/2018
648,1398,85,4/19/2018
649,1668,59,4/15/2018
650,1659,1,1/16/2018
651,1129,83,8/10/2018
652,1945,35,3/10/2018
653,1629,93,8/12/2018
654,1744,52,2/6/2018
655,1082,50,8/7/2018
656,1135,18,7/7/2018
657,1015,20,2/4/2018
658,1469,58,11/26/2017
659,1069,56,1/3/2018
660,1626,73,5/22/2018
661,1248,54,1/7/2018
662,1138,39,10/5/2017
663,1422,83,4/23/2018
664,1857,3,2/14/2018
665,1485,34,11/5/2017
666,1249,22,10/9/2017
667,1277,49,2/8/2018
668,1908,30,3/13/2018
669,1205,89,7/7/2018
670,1021,93,4/4/2018
671,1791,99,9/28/2017
672,1928,50,4/24/2018
673,1576,5,6/22/2018
674,1580,26,12/21/2017
675,1340,26,10/29/2017
676,1353,22,10/5/2017
677,1782,12,5/5/2018
678,1764,66,12/9/2017
679,1970,41,5/26/2018
680,1591,16,8/10/2018
681,1906,67,2/24/2018
682,1099,90,12/26/2017
683,1995,86,10/10/2017
684,1719,67,7/11/2018
685,1791,54,8/29/2018
686,1232,78,3/25/2018
687,1790,1,12/26/2017
688,1264,100,3/8/2018
689,1923,67,9/28/2017
690,1152,56,5/17/2018
691,1546,96,4/11/2018
692,1124,72,9/29/2017
693,1698,16,9/17/2017
694,1646,14,5/24/2018
695,1992,75,10/1/2017
696,1017,62,5/27/2018
697,1294,11,3/3/2018
698,1710,85,11/13/2017
699,1390,54,8/15/2018
700,1197,54,9/16/2017
701,1547,99,9/28/2017
702,1652,2,1/19/2018
703,1924,38,12/14/2017
704,1233,9,2/6/2018
705,1422,67,5/31/2018
706,1747,68,2/4/2018
707,1108,83,2/28/2018
708,1357,32,11/12/2017
709,1913,49,10/23/2017
710,1790,46,9/24/2017
711,1048,42,12/19/2017
712,1062,83,11/28/2017
713,1103,33,8/19/2018
714,1213,1,5/20/2018
715,1014,3,3/9/2018
716,1008,50,6/5/2018
717,1332,85,12/27/2017
718,1739,35,9/29/2017
719,1592,94,8/30/2018
720,1687,76,2/6/2018
721,1234,99,2/12/2018
722,1066,68,1/28/2018
723,1640,76,12/12/2017
724,1117,79,2/28/2018
725,1439,50,10/2/2017
726,1389,52,3/30/2018
727,1288,41,1/20/2018
728,1589,83,11/18/2017
729,1604,90,5/8/2018
730,1564,41,2/12/2018
731,1243,28,1/20/2018
732,1655,70,7/24/2018
733,1932,91,6/1/2018
734,1292,24,3/19/2018
735,1913,73,6/2/2018
736,1821,69,9/28/2017
737,1823,83,5/18/2018
738,1772,6,4/27/2018
739,1842,49,9/21/2017
740,1720,23,11/21/2017
741,1468,25,4/3/2018
742,1648,17,12/27/2017
743,1251,14,12/20/2017
744,1066,80,4/13/2018
745,1438,77,4/5/2018
746,1010,84,2/18/2018
747,1171,91,7/3/2018
748,1787,48,9/20/2017
749,1871,76,9/8/2018
750,1032,20,9/11/2017
751,1131,11,1/4/2018
752,1096,73,11/3/2017
753,1017,50,9/8/2018
754,1008,80,12/30/2017
755,1838,82,8/12/2018
756,1164,27,2/2/2018
757,1757,2,9/21/2017
758,1713,56,7/1/2018
759,1117,80,6/22/2018
760,1932,44,1/15/2018
761,1629,75,12/10/2017
762,1069,59,1/28/2018
763,1356,67,1/17/2018
764,1161,48,9/14/2017
765,1533,42,2/25/2018
766,1275,82,1/23/2018
767,1737,6,6/7/2018
768,1883,57,8/5/2018
769,1002,22,9/3/2018
770,1574,15,10/26/2017
771,1514,7,11/17/2017
772,1968,31,2/27/2018
773,1642,19,2/14/2018
774,1548,79,9/9/2018
775,1132,82,7/27/2018
776,1042,46,6/16/2018
777,1738,57,2/23/2018
778,1065,17,7/11/2018
779,1671,23,6/11/2018
780,1107,31,4/27/2018
781,1989,66,9/7/2018
782,1131,31,1/3/2018
783,1397,82,8/13/2018
784,1819,66,5/13/2018
785,1099,54,9/21/2017
786,1398,77,7/25/2018
787,1035,14,6/14/2018
788,1600,55,3/6/2018
789,1147,36,8/21/2018
790,1938,50,2/3/2018
791,1619,54,7/1/2018
792,1784,61,1/29/2018
793,1570,14,7/24/2018
794,1121,5,5/13/2018
795,1885,67,7/24/2018
796,1466,16,9/15/2017
797,1243,68,3/16/2018
798,1305,62,3/19/2018
799,1458,64,2/22/2018
800,1270,76,12/21/2017
801,1093,73,4/10/2018
802,1851,48,4/7/2018
803,1387,40,11/11/2017
804,1014,48,8/12/2018
805,1914,62,8/19/2018
806,1505,31,1/16/2018
807,1551,45,11/17/2017
808,1685,46,9/22/2017
809,1918,96,10/13/2017
810,1991,91,8/8/2018
811,1772,42,11/27/2017
812,1672,99,10/15/2017
813,1791,88,7/29/2018
814,1508,16,7/7/2018
815,1238,74,5/10/2018
816,1915,72,3/9/2018
817,1864,45,2/7/2018
818,1823,5,2/7/2018
819,1301,22,3/16/2018
820,1245,39,10/20/2017
821,1005,5,8/9/2018
822,1649,84,3/20/2018
823,1144,94,9/16/2017
824,1182,24,10/27/2017
825,1529,11,7/22/2018
826,1047,10,1/24/2018
827,1513,100,3/8/2018
828,1765,56,1/9/2018
829,1397,39,1/18/2018
830,1356,96,5/17/2018
831,1646,5,1/20/2018
832,1560,83,3/13/2018
833,1249,88,9/25/2017
834,1705,39,9/15/2017
835,1213,19,8/20/2018
836,1068,100,7/26/2018
837,1488,21,2/17/2018
838,1967,32,1/21/2018
839,1648,78,8/3/2018
840,1308,20,7/21/2018
841,1212,2,2/26/2018
842,1226,37,6/27/2018
843,1102,26,8/5/2018
844,1508,38,5/14/2018
845,1845,66,2/19/2018
846,1650,62,11/5/2017
847,1796,12,3/18/2018
848,1025,86,7/14/2018
849,1831,32,12/24/2017
850,1304,97,11/3/2017
851,1824,96,11/1/2017
852,1187,10,5/21/2018
853,1799,15,5/1/2018
854,1840,10,6/29/2018
855,1731,33,4/24/2018
856,1015,85,2/26/2018
857,1324,17,7/27/2018
858,1429,9,6/21/2018
859,1676,10,6/19/2018
860,1443,43,8/6/2018
861,1721,19,6/22/2018
862,1085,38,6/20/2018
863,1341,69,12/10/2017
864,1413,59,12/8/2017
865,1260,17,7/26/2018
866,1666,64,10/16/2017
867,1066,52,2/5/2018
868,1430,12,2/3/2018
869,1181,31,1/27/2018
870,1789,86,2/2/2018
871,1330,17,3/2/2018
872,1094,38,7/31/2018
873,1516,76,7/2/2018
874,1399,29,6/16/2018
875,1495,41,11/20/2017
876,1759,6,10/26/2017
877,1292,36,10/29/2017
878,1279,50,9/7/2018
879,1058,18,5/10/2018
880,1681,62,12/10/2017
881,1156,66,5/27/2018
882,1172,55,4/22/2018
883,1291,42,2/21/2018
884,1975,100,7/31/2018
885,1275,74,7/17/2018
886,1942,18,12/15/2017
887,1031,67,9/3/2018
888,1975,56,3/30/2018
889,1789,74,12/12/2017
890,1782,23,2/21/2018
891,1979,15,9/23/2017
892,1545,73,3/22/2018
893,1449,44,10/30/2017
894,1505,31,5/27/2018
895,1795,78,12/10/2017
896,1406,86,11/21/2017
897,1182,26,5/25/2018
898,1159,58,7/4/2018
899,1474,32,2/12/2018
900,1654,26,2/17/2018
901,1469,17,5/20/2018
902,1588,46,10/26/2017
903,1907,54,2/6/2018
904,1183,87,2/27/2018
905,1187,11,11/10/2017
906,1971,88,4/30/2018
907,1034,97,6/4/2018
908,1033,95,5/14/2018
909,1411,91,8/8/2018
910,1843,24,8/22/2018
911,1328,59,7/10/2018
912,1959,68,1/4/2018
913,1172,55,11/8/2017
914,1884,95,6/2/2018
915,1595,62,2/8/2018
916,1607,5,10/22/2017
917,1057,56,2/11/2018
918,1255,47,11/20/2017
919,1180,96,6/16/2018
920,1748,46,9/24/2017
921,1702,86,6/16/2018
922,1156,46,6/1/2018
923,1041,48,2/6/2018
924,1079,54,8/17/2018
925,1474,34,4/23/2018
926,1907,46,8/6/2018
927,1605,99,11/25/2017
928,1468,40,12/24/2017
929,1872,79,2/15/2018
930,1898,32,10/29/2017
931,1772,69,9/21/2017
932,1655,19,2/10/2018
933,1793,90,6/16/2018
934,1739,93,5/14/2018
935,1276,84,7/21/2018
936,1739,93,5/15/2018
937,1969,50,7/20/2018
938,1347,27,7/21/2018
939,1882,92,5/17/2018
940,1528,59,2/3/2018
941,1781,51,4/29/2018
942,1385,21,9/22/2017
943,1126,10,7/16/2018
944,1895,21,8/30/2018
945,1815,36,5/13/2018
946,1967,67,5/18/2018
947,1231,76,8/27/2018
948,1209,7,8/8/2018
949,1559,39,5/17/2018
950,1355,67,10/16/2017
951,1761,6,10/21/2017
952,1662,99,9/19/2017
953,1611,52,10/7/2017
954,1982,95,5/3/2018
955,1083,54,6/26/2018
956,1374,47,5/7/2018
957,1971,1,10/23/2017
958,1300,31,5/31/2018
959,1194,43,4/10/2018
960,1108,13,7/1/2018
961,1093,44,7/18/2018
962,1962,66,2/1/2018
963,1954,48,5/20/2018
964,1057,83,6/27/2018
965,1138,12,2/15/2018
966,1846,18,10/19/2017
967,1395,98,3/31/2018
968,1688,9,10/25/2017
969,1637,86,8/26/2018
970,1377,95,4/18/2018
971,1523,25,2/6/2018
972,1418,81,10/17/2017
973,1861,96,12/3/2017
974,1675,76,10/25/2017
975,1423,18,9/15/2017
976,1838,5,3/4/2018
977,1520,64,3/4/2018
978,1615,96,7/25/2018
979,1330,82,5/9/2018
980,1830,24,4/3/2018
981,1084,53,8/4/2018
982,1104,16,6/8/2018
983,1388,17,5/20/2018
984,1970,43,11/13/2017
985,1721,70,11/13/2017
986,1604,54,8/5/2018
987,1115,90,3/1/2018
988,1621,70,10/7/2017
989,1768,49,4/15/2018
990,1236,57,2/13/2018
991,1793,35,9/4/2018
992,1703,33,3/8/2018
993,1818,63,6/21/2018
994,1305,19,2/15/2018
995,1643,39,9/6/2018
996,1580,99,4/2/2018
997,1258,79,2/20/2018
